Photo,Name,Links,Location,Season,Type,Management,Fee,Amenities,Features,Surface,Trail,Sports,Favorite,Difficulty,Motorized,Notes,Class3,Source,Status,TrailT
,"<a href=http://www.wta.org/go-hiking/hikes/naches-peak-loop target=""_blank"">Tipsoo Lake Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,Free - No fee or pass,,"Features: Interpretive Signs, Lake Access, Scenic View",Natural/Soft Surface,"Trail Length: 0.9 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,These trails loop around scenic Tipsoo Lake.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/tolmie-peak.htm target=""_blank"">Tolmie Peak Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 1.4 mi; Elevation Gain: 1010 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This trail, accessed from the Wonderland trail, passes through the forest to Eunice Lake, then climbs to the Tolmie Peak fire lookout for views of Mount Rainier. Please stay on the trail to avoid damaging the meadows surrounding the lake.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/day-hiking-at-mount-rainier.htm target=""_blank"">Trail of the Shadows</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,Pass: National Park Pass,,Features: Historic Site,Natural/Soft Surface,"Trail Length: 0.7 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,Human and natural history come together in the forest and meadows of Longmire. You'll see a replica of an early homestead cabin and discover the plants and animals that call this area their home.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/day-hiking-at-mount-rainier.htm target=""_blank"">Twin Firs Loop Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,Pass: National Park Pass,,,Natural/Soft Surface,"Trail Length: 0.4 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This short trail passes through old growth forest.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/the-wonderland-trail.htm target=""_blank"">Wonderland Trail</a>",,Mount Rainier National Park,,Regional Trail,Owner: NPS,,Amenities: Camping Area,,Natural/Soft Surface,"Trail Length: 82.4 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This 93 mile trail encircles Mount Rainier. It is a strenuous hike with lots of elevation gain and loss, through lowland forests and valleys and into high alpine and sub-alpine areas.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Regional Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/the-wonderland-trail.htm target=""_blank"">Wonderland Trail</a>",,Mount Rainier National Park,,Regional Trail,Owner: NPS,,Amenities: Camping Area,,Natural/Soft Surface,"Trail Length: 82.4 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This 93 mile trail encircles Mount Rainier. It is a strenuous hike with lots of elevation gain and loss, through lowland forests and valleys and into high alpine and sub-alpine areas.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Regional Trail
,Puyallup Trail,,Gifford Pinchot National Forest,Season: Late Spring to Fall (Best),Official Trail,Owner: USFS,,Amenities: No Potable Water,,Natural/Soft Surface,"Trail ID: 248; Trail Length: 2.5 mi;  Top Elevation: 4650 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,"Grade Class: TG05 (12-20%); Trail Ends Trail 267 to Wilderness Boundary/Mt Rainier National Park",Federal,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,Trail
,Lake Christine Trail,,Gifford Pinchot National Forest,Season: Late Spring to Fall (Best),Official Trail,Owner: USFS,,Amenities: No Potable Water,Features: Lake Access,Natural/Soft Surface,"Trail ID: 249; Trail Length: 1.8 mi;  Top Elevation: 5040 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,"Grade Class: TG05 (12-20%); Trail Ends Rd 5920 to Trail 248",Federal,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,Trail
,Glacier View Trail,,Gifford Pinchot National Forest,Season: Late Spring to Fall (Best),Official Trail,Owner: USFS,,Amenities: No Potable Water,Features: Scenic View,Natural/Soft Surface,"Trail ID: 267; Trail Length: 3 mi;  Top Elevation: 5200 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,"Grade Class: TG05 (12-20%); Trail Ends Rd 59 to wilderness boundary",Federal,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,Trail
,Peak Two Trail,,Gifford Pinchot National Forest,Season: Late Spring to Fall (Best),Official Trail,Owner: USFS,,Amenities: No Potable Water,,Natural/Soft Surface,"Trail ID: 268; Trail Length: 1.3 mi;  Top Elevation: 5040 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,"Grade Class: TG05 (12-20%); Trail Ends Trail 267 to  peak",Federal,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans Creek-Jeep 311 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 311; Trail Surface: Natural/Soft Surface","Summer Sports: ATVing, Jeep/4-Wheeling, Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding, Mountain Biking",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basi.,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans Creek-Jeep 311 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 311; Trail Surface: Natural/Soft Surface","Summer Sports: ATVing, Jeep/4-Wheeling, Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding, Mountain Biking",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basi.,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1140 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 1140; Trail Surface: Natural/Soft Surface","Summer Sports: Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding, Mountain Biking",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1145 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 1145; Trail Surface: Natural/Soft Surface","Summer Sports: Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding, Mountain Biking",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1154 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 1154; Trail Surface: Natural/Soft Surface","Summer Sports: Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding, Mountain Biking",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18102&actid=50 target=""_blank"">Bullion Basin Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 1156;  Top Elevation: 6320 ft; Elevation Gain: 1560 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,This trail climbs from the Crystal Mountain Ski Lodge to the Pacific Crest Trail. Bullion Basin has good campsites with grass and water for stock along with a hitching rail.,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18130&actid=50 target=""_blank"">Goat Lake Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1161; Trail Length: 1.6 mi;  Top Elevation: 6290 ft; Elevation Gain: 130 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Camping, Hiking, Horseback Riding",,,No motorized use,"Tremendous views, great camping and a near-wilderness experience are yours for a short trip up and over the Norse Peak ridge. This trail provides breathtaking vistas of Mount Rainier, Crystal Mountain Basin and Norse Peak Wilderness area.",Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18114&actid=50 target=""_blank"">Crystal Mountain Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 1163; Trail Length: 9.1 mi;  Top Elevation: 5360 ft; Elevation Gain: 1280 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding, Mountain Biking",,,No motorized use,"This trail climbs through forest and meadows before erupting on a high wind-swept ridge with beautiful views of Mt Rainier at the 3 mile point. If you containue for 3 more miles, you will reach the Crystal Mountain Summit House at the top of chairlift 10",Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,Tin Shacktie Through Trail,,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1165; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18170&actid=50 target=""_blank"">Snoquera Falls Trail</a>",,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1167; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18116&actid=50 target=""_blank"">Dalles Ridge Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 1173; Trail Length: 1.8 mi;  Top Elevation: 5700 ft; Elevation Gain: 300 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding, Mountain Biking",,,No motorized use,"This trail, that climbs up to a ridge, is primarily used to access the Noble Knob and Ranger Creek Trails.",Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18134&actid=50 target=""_blank"">Greenwater Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,Features: Lake Access,Natural/Soft Surface,"Trail ID: 1176; Trail Surface: Natural/Soft Surface","Summer Sports: Fishing, Hiking, Horseback Riding",,,No motorized use,"This is an easy two- mile hike for all ages through lush moss-laden old-growth forest to Greenwater Lakes, also known as Meeker Lake. Continue five miles to Echo Lake and experience the Norse Peak Wilderness.",Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,Summit Lake Tie With Clearwate Trail,,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1177.1; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18108&actid=50 target=""_blank"">Clearwater Trail</a>",,Clearwater Wilderness,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1178; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,"This strenuous, primitive trail starts in the Mt Baker National Forest just outside the boundary of the Clearwater Wilderness (a section known as Carbon Trail). It can be hard to find at times.",Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,Lyle Lake Trail,,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1178.1; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18104&actid=50 target=""_blank"">Carbon Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 1179;  Top Elevation: 4800 ft; Elevation Gain: 600 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,This trail offers spectacular views of Mt. Rainier and the valley below. Expect a steady elevation gain with enough flat areas to relieve your legs from the constant climb. Many viewpoints near the summit allow unobstructed views of Mt. Rainier.,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18126&actid=50 target=""_blank"">Frog Mountain Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Official Trail,Owner: USFS,Free - No fee or pass,,,Natural/Soft Surface,"Trail ID: 1180; Trail Length: 3.1 mi; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding, Motorcycling, Mountain Biking",,,Motorized uses allowed,This moderate hike offers oneo fthe best views of Mountain Rainier as you climb up to the summit. It starts at Martin Gap and endes at FS RD 74.,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18174&actid=50 target=""_blank"">Suntop Trail</a>",,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1183; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18148&actid=50 target=""_blank"">Noble Knob Trail</a>",,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1184; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,Lost Lake Trail,,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1185; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18144&actid=50 target=""_blank"">Maggie Creek Trail</a>",,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1186; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=http://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18098&actid=50 target=""_blank"">Arch Rock Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1187; Trail Length: 3.1 mi; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18152&actid=50 target=""_blank"">Norse Peak Trail</a>",,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1191; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18166&actid=50 target=""_blank"">Silver Creek Trail</a>",,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1192; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18120&actid=50 target=""_blank"">Deep Creek Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,Features: Scenic View,Natural/Soft Surface,"Trail ID: 1196; Trail Length: 4 mi;  Top Elevation: 9200 ft; Elevation Gain: 6320 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding, Mountain Biking",,,No motorized use,This trail that offers scenic views of the White River Valley and Mt Rainier climbs through old growth timber to end at Noble Knob  Trail (1184).,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18164&actid=50 target=""_blank"">Ranger Creek Trail</a>",,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1197; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18158&actid=50 target=""_blank"">Palisade Trail</a>",,Mt Baker-Snoqualmie National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 1198; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,Trail
,Bear Gap Trail,,Wenatchee National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 967; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/okawen/ target=""_blank"">Okanogan-Wenatchee National Forest</a>",Open,Trail
,Louisiana Saddle Trail,,Wenatchee National Forest,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,"Trail ID: 945A; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.fs.usda.gov/okawen/ target=""_blank"">Okanogan-Wenatchee National Forest</a>",Open,Trail
,"<a href=http://www.kingcounty.gov/services/parks-recreation/parks/trails/regional-trails/popular-trails/interurban.aspx target=""_blank"">Interurban Trail</a>",,Pierce County,Season: Year round (Open),Regional Trail,Owner: King County,Free - No fee or pass,,Features: Accessible Facilities,Paved,"Trail Length: 14.7 mi; Trail Surface: Paved","Summer Sports: Hiking, Horseback Riding, Jogging, Road Biking, Roller Skating",,,No motorized use,"The Interurban Trail links Tukwila, Kent, Auburn, Algona, and Pacific along a near-straight 14 mile-long alignment following the historic Interurban Rail Line.",County,"Location contributed by <a href=http://www.kingcounty.gov/services/parks-recreation.aspx target=""_blank"">King County</a>",Open,Regional Trail
,"<a href=http://www.kingcounty.gov/services/parks-recreation/parks/trails/regional-trails/popular-trails/interurban.aspx target=""_blank"">Interurban Trail</a>",,Pierce County,Season: Year round (Open),Regional Trail,Owner: King County,Free - No fee or pass,,Features: Accessible Facilities,Paved,"Trail Length: 14.7 mi; Trail Surface: Paved","Summer Sports: Hiking, Horseback Riding, Jogging, Road Biking, Roller Skating",,,No motorized use,"The Interurban Trail links Tukwila, Kent, Auburn, Algona, and Pacific along a near-straight 14 mile-long alignment following the historic Interurban Rail Line.",County,"Location contributed by <a href=http://www.kingcounty.gov/services/parks-recreation.aspx target=""_blank"">King County</a>",Open,Regional Trail
,Interurban Trail - Milton,,"King, Pierce County",,Official Trail,Owner: Milton,,,,Paved,Trail Surface: Paved,,,,Trail uses unknown,,City,"Location contributed by <a href=http://www.kingcounty.gov/services/parks-recreation.aspx target=""_blank"">King County</a>",Open,Trail
,"<a href=http://www.pcta.org/discover-the-trail/ target=""_blank"">Pacific Crest Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Regional Trail,Owner: USFS & NPS,,,,Natural/Soft Surface,"Trail ID: 2000; Trail Length: 2650 mi; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,"The Pacific Crest Trail spans 2,650 miles from Mexico to Canada through California, Oregon, and Washington. In Washington State, it passes through several national parks, forests and wilderness areas. There are 444 miles of the trail in Washington State.",Federal,"Location contributed by <a href=http://www.fs.fed.us/ target=""_blank"">USFS</a>",Open,Regional Trail
,"<a href=http://www.metroparkstacoma.org/garfield-park target=""_blank"">Garfield Park</a>",,"400 North Borough Road, Tacoma",,Neighborhood Park,"Owner: Tacoma; Manager: Metro Parks Tacoma",Free - No fee or pass,"Amenities: Picnic Tables, Playground",,,,,,,Trail uses unknown,,Other Public,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,"<a href=http://www.metroparkstacoma.org/mckinley-park target=""_blank"">McKinley Park</a>",,"900 Upper Park St. E, Tacoma",,Neighborhood Park,"Owner: Tacoma; Manager: Metro Parks Tacoma",Free - No fee or pass,"Amenities: Bathroom, Playground",,,,,,,Trail uses unknown,,Other Public,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,"<a href=http://www.metroparkstacoma.org/page.php?id=606 target=""_blank"">Puget Gardens</a>",,"N ALDER WAY & N LAWRENCE ST, Tacoma",,Open Space,"Owner: Tacoma; Manager: Metro Parks Tacoma",,,,,,,,,Trail uses unknown,,Other Public,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,North Puyallup River Trailhead,,Pierce County,,Trailhead,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Perimeter Rd to 176th St S Trailhead,,Pierce County,,Trailhead,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Foothills Trail,,"401 Washington Av SE,",,Regional Trail,Owner: Orting,,,,,,,,,Trail uses unknown,,City,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Regional Trail
,"<a href=http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/puyallup-riverwalk-trail/ target=""_blank"">Puyallup Riverwalk Trail</a>",,"Runs along Puyallup River-Milwaukee Bridge to 7th St, Puyallup",,Official Trail,Owner: Puyallup,,,,,,,,,Trail uses unknown,,City,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Flume Trail Access,,Foothills Trail,,Trailhead,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
