Photo,Name,Name_,Links,Location,Contact,Hours,Season,Days_Open,Subtype,Category,Type,Management,Fee,Amenities,Features,Facilities,Details,Sports,Notes,Source,Status,Latitude,Longitude,MapCat
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32152&actid=50 target=""_blank"">Tatoosh South Trailhead</a>",Tatoosh South Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",Hikers only. Limited parking space at the trailhead.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.666894,-121.638406,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32110&actid=50 target=""_blank"">Riverview Trailhad</a>",Riverview Trailhad,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding, Mountain Biking",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.665097,-121.600074,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32008&actid=50 target=""_blank"">Clear Fork Trailhead</a>",Clear Fork Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",This trail provides access to Clear Fork Trail which enters the Goat Rocks Wilderness.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.655752,-121.486357,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=31992&actid=50 target=""_blank"">Bluff Lake Trailhead</a>",Bluff Lake Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.653477,-121.571239,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32114&actid=50 target=""_blank"">Sand Lake Trailhead</a>",Sand Lake Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.631731,-121.437881,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/ohv/recarea/?recid=31362&actid=64 target=""_blank"">Mt. Rainier-Goat Rocks Observation Site</a>",Mt. Rainier-Goat Rocks Observation Site,,Gifford Pinchot National Forest,,,Season: Spring to Fall,,Recreation Facilities,Picnic or Day Use Area,Overlook,Owner: USFS,Free - No fee or pass,,,,,,Roadside pullout with views of Mt. Rainier and Goat Rocks Wilderness. There are no picnic facilities at this site.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.631868,-121.447955,Picnic Area or Viewpoint
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32156&actid=50 target=""_blank"">Three Peaks Trailhead</a>",Three Peaks Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.626824,-121.589073,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32010&actid=50 target=""_blank"">Clear Lost Trailhead</a>",Clear Lost Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",This trailhead on highway 12 is unmarked and can accommodate only one vehcile.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.625830,-121.445968,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/recarea/?recid=32104 target=""_blank"">Packwood Lake Trailhead</a>",Packwood Lake Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Pass: Northwest Forest Pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding, OHVing",Trailhead is on Forest Road 1260 where Packwood Lake Trail No. 78 heads off for the Goat Rocks Wilderness.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.608215,-121.628057,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32070&actid=50 target=""_blank"">Lily Basin Trailhead</a>",Lily Basin Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.564230,-121.599774,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=31352&actid=50 target=""_blank"">Lily Basin Stock Trailhead</a>",Lily Basin Stock Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",Open to horses and hikers only.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.563644,-121.593135,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32034&actid=50 target=""_blank"">Glacier Lake Trailhead</a>",Glacier Lake Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,Parking: There is limited parking at this trailhead.,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.545484,-121.622136,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=31982&actid=50 target=""_blank"">Angry Mountain Trailhead</a>",Angry Mountain Trailhead,,Gifford Pinchot National Forest,,,Season: Summer to Fall (Best),,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.519258,-121.594774,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32046&actid=50 target=""_blank"">Jordan Creek Trailhead</a>",Jordan Creek Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.505911,-121.582174,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/outdoorlearning/recarea/?recid=31466&actid=119 target=""_blank"">Woods Creek Watchable Wildlife Interpretive Site</a>",Woods Creek Watchable Wildlife Interpretive Site,,Gifford Pinchot National Forest,,,,,Attraction,Interpretive Site,Natural Science Interpretive Site,Owner: USFS,Free - No fee or pass,"Amenities: Bathroom, Picnic Tables",Features: Interpretive Signs,,Elevation: 1100 ft,,"This is a great place for a picnic or hike. The Woods Creek Watchable Wildlife Trail, that starts at this site, has been identified as one ofhte most interesting and acessible hikes on the forest.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Verify,46.462568,-121.960387,Interpretive Center or Site
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=31314&actid=50 target=""_blank"">Jackpot Lake Trailhead</a>",Jackpot Lake Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,Summer Sports: Hiking,,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.466515,-121.694536,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recarea/?recid=31466 target=""_blank"">Woods Creek Watchable Wildlife Interpretive Site Trailhead</a>",Woods Creek Watchable Wildlife Interpretive Site Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,,Features: Interpretive Signs,Facilites: Trails,"Elevation: 1100 ft; Parking: Parking Lot",Summer Sports: Hiking,The Woods Creek Watchable Wildlife Trail has been identified as one ofhte most interesting and acessible hikes on the forest.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.461030,-121.959487,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/recarea/?recid=31198 target=""_blank"">Berry Patch Trailhead</a>",Berry Patch Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Pass: Northwest Forest Pass,"Amenities: Bathroom, No Potable Water",,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding","Berry Patch was the site of a Forest Service Ranger Station from 1910 to the 1930s.  Long before that, the site was an important Taidnapam/Yakama Native American berry-picking site.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.467016,-121.527658,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/outdoorlearning/recarea/?recid=31348&actid=119 target=""_blank"">Layser Cave Interpretive Site</a>",Layser Cave Interpretive Site,,Gifford Pinchot National Forest,,,Season: Year round (Open),,Attraction,Interpretive Site,Natural Science Interpretive Site,Owner: USFS,Free - No fee or pass,,Features: Interpretive Signs,Facilites: Trails,"Elevation: 2400 ft; Parking: Large parking lot that can accommodate buses.",Summer Sports: Hiking,"This is one of the most significant archaeological sites in Western Washington. Animal bones and stone tools found here enabled experts to piece together more than 7,000 years of history. It is an easy 1/4 mile from the Layser Cave Trailhead.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.460369,-121.859070,Interpretive Center or Site
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32134&actid=50 target=""_blank"">Snowgrass Hikers Trailhead</a>",Snowgrass Hikers Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.463103,-121.520663,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31366&actid=29 target=""_blank"">North Fork Group Campground</a>",North Fork Group Campground,,Gifford Pinchot National Forest,,,Season: Spring to Fall,,Recreation Facilities,Camping,Campground,"Owner: USFS; Manager: Private","Fee: $18 single site; $34 multi site; $75-$100 group site",Amenities: Potable Water,,,"Group Campground; 32 campsites; Elevation: 2543 ft","Summer Sports: Camping, Fishing, OHVing",Well-defined camp spots. This is a popular campground along the Cispus River.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.452329,-121.789384,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31366&actid=29 target=""_blank"">North Fork Campground</a>",North Fork Campground,,Gifford Pinchot National Forest,,,Season: Spring to Fall,,Recreation Facilities,Camping,Campground,"Owner: USFS; Manager: Private","Fee: $18 single site; $34 multi site; $75-$100 group site",Amenities: Potable Water,,,"Standard Campground; 32 campsites; Elevation: 2543 ft","Summer Sports: Fishing, OHVing",Well-defined camp spots. This is a popular campground along the Cispus River.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.451544,-121.786800,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31448&actid=29 target=""_blank"">Tower Rock Campground</a>",Tower Rock Campground,,Gifford Pinchot National Forest,,,Season: Spring to Fall,,Recreation Facilities,Camping,Campground,"Owner: USFS; Manager: Private",Fee: $18 single site,Amenities: Potable Water,,,"Standard Campground; 21 campsites; Elevation: 1100 ft","Summer Sports: Camping, Fishing","With easy access on paved Forest Routes 23 and 76, Tower Rock Campground offers easy RV camping. The campground, next to the Cispus River, is conveniently located for those visiting the east side of Mount St. Helens.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.445641,-121.867292,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31306&actid=29 target=""_blank"">Iron Creek Campground</a>",Iron Creek Campground,,Gifford Pinchot National Forest,,,Season: Spring to Fall,,Recreation Facilities,Camping,Campground,"Owner: USFS; Manager: Private","Fee: $20 single site; $38 multi-site","Amenities: Picnic Tables, Potable Water",,,"Standard Campground; 98 campsites; Elevation: 1083 ft","Summer Sports: Camping, Fishing",The area has very tall old growth trees.  Lush vegetation and ample space between sites makes them quite private. This is a great place to camp while exploring the more remote side of Mount St. Helens.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.430628,-121.985112,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/picnickinginfo/recarea/?recid=32044&actid=70 target=""_blank"">Iron Creek Recreation Area</a>",Iron Creek Recreation Area,,Gifford Pinchot National Forest,,,Season: Year round (Open),,Recreation Facilities,Picnic or Day Use Area,Day Use Area,Owner: USFS,Free - No fee or pass,Amenities: Picnic Tables,,,Parking: Barrier free parking area,,"The recreation area has very tall old growth trees with lush vegetation and room to roam. The picnic area, set among a majestic forest glen along the Cispus River, is American Disabilities Act barrier-free.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.427239,-121.982010,Picnic Area or Viewpoint
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recarea/?recid=31458 target=""_blank"">Walupt Horse Camp</a>",Walupt Horse Camp,,Gifford Pinchot National Forest,,,Season: Summer to Fall,,Recreation Facilities,Camping,Campground,"Owner: USFS; Manager: Hoodoo Recreation Services","Fee: $16 site, $8 extra vehicle","Amenities: Bathroom, Horse Facilities, Potable Water",,,"Standard Campground; 7 campsites; Elevation: 3930 ft",Summer Sports: Horseback Riding,"Walupt Horse Camp is located one mile west of Walupt Lake. It is a full-service horse camp with gravel interior roads, spurs and parking area. Four of the sites are double sites.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.425419,-121.490053,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31460&actid=29 target=""_blank"">Walupt Lake Campground</a>",Walupt Lake Campground,,Gifford Pinchot National Forest,,,Season: Spring to Fall,,Recreation Facilities,Camping,Campground,"Owner: USFS; Manager: Private","Fee: $18 single site; $34 multi-site; $5 day use",Amenities: Potable Water,,Facilites: Boat Launch,"Primitive Launch; Standard Campground; Elevation: 3930 ft","Summer Sports: Boating, Camping, Fishing, Hiking, Kayaking, Swimming","A popular campground on Walupt Lake surrounded by the Goat Rocks Wilderness, this campground provides outstanding views of the forest. It has various sizes of camp sites including 7 walk-in sites. The campground is accessed by a rough gravel road.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.423769,-121.474055,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32012&actid=50 target=""_blank"">Coleman Weedpatch Trailhead</a>",Coleman Weedpatch Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.422808,-121.500671,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=31990&actid=50 target=""_blank"">Blue Lake Hiker Trailhead</a>",Blue Lake Hiker Trailhead,,Gifford Pinchot National Forest,,,Season: Spring to Fall (Best),,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,Summer Sports: Hiking,The trailhead is inaccessible to motor vehciles as of 1/7/2016 because of flood damage to FS RD 23.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Closed temporarily,46.410316,-121.733578,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31210&actid=29 target=""_blank"">Blue Lake Creek Campground</a>",Blue Lake Creek Campground,,Gifford Pinchot National Forest,,,Season: Spring to Fall,,Recreation Facilities,Camping,Campground,"Owner: USFS; Manager: Private","Fee: $12 single site; $30 multi-site",Amenities: No Potable Water,Features: River Access,,"Standard Campground; 11 campsites; Elevation: 1900 ft","Summer Sports: Camping, OHVing",This beautiful small campground is surrounded by large trees and grass.  Sites are typically open and grassy. It is popular with OHV users and can become noisy when trail bikes come and go.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.403512,-121.736561,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/recarea/?recid=31214 target=""_blank"">Blue Lake ORV Trailhead</a>",Blue Lake ORV Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Pass: Northwest Forest Pass,Amenities: Bathroom,,,,"Summer Sports: ATVing, OHVing; Other Allowed Uses: Hiking, Horseback Riding, Mountain Biking",The trailhead is inaccessible to motor vehciles as of 11/7/2016 because of flood damage to FS RD 23.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Closed temporarily,46.394914,-121.731426,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recarea/?recid=31630 target=""_blank"">Ryan Lake Interpretive Site</a>",Ryan Lake Interpretive Site,,Gifford Pinchot National Forest,,,Season: Summer,,Attraction,Interpretive Site,Natural Science Interpretive Site,Owner: USFS,Free - No fee or pass,Amenities: Bathroom,Features: Interpretive Signs,,Elevation: 3300 ft,,This interpretive site tells the story of the lake through the 1980 eruption of Mt St Helens and it rebirth. I tis not accessible most of the year due to weather conditoins.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.351850,-122.063687,Interpretive Center or Site
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/horseriding-camping/recarea/?recid=31542&actid=104 target=""_blank"">Green River Horse Camp</a>",Green River Horse Camp,,Gifford Pinchot National Forest,,,,,Recreation Facilities,Camping,Campground,Owner: USFS,,,,,Standard Campground,,Each campsite is limited to two trailer rigs or three vehicles. There is no potable water herthe closest drinking water is located 5 miles south on Road 26 at the Norway Pass trailhead.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Verify,46.349024,-122.084622,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=31358&actid=50 target=""_blank"">Midway Pacific Crest Trailhead</a>",Midway Pacific Crest Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,Summer Sports: Hiking,,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.350931,-121.518106,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31230&actid=29 target=""_blank"">Cat Creek Campground</a>",Cat Creek Campground,,Gifford Pinchot National Forest,,,,,Recreation Facilities,Camping,Campground,Owner: USFS,,,,,Standard Campground,,This very small campground is situated on the banks of the Cispus River.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Verify,46.348189,-121.624616,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31186&actid=29 target=""_blank"">Adams Fork Campground</a>",Adams Fork Campground,,Gifford Pinchot National Forest,,,Season: Spring to Fall,,Recreation Facilities,Camping,Campground,"Owner: USFS; Manager: Private","Fee: $16 single site; $30-$45 multi-site",Amenities: Potable Water,,,"Standard Campground; 24 campsites; Elevation: 2600 ft","Summer Sports: Camping, Fishing, OHVing","This wooded area along the Adams Fork of the Cispus River makes a great campground location. The campground is located near the Off Highway Vehicle trails of Blue Lake, Ridge and Valley Trail.  This campground is part of the Randle Recreation Area.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.339335,-121.646589,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=31892&actid=50 target=""_blank"">Potato Hill Trailhead</a>",Potato Hill Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,Features: Wildlife Viewing,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",The parking area is gravel and has a 4 vehicle capacity.,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.325726,-121.505900,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/mountsthelens/recarea/?recid=40401 target=""_blank"">Coldwater Science & Learning Center</a> - <a href=http://mshslc.org target=""_blank"">Visitor Center page</a>",Coldwater Science & Learning Center,,Gifford Pinchot National Forest,,"Hours: Nov-May Sat & Sun 10-4, June-October Open for special events and education programs.",Season: Year round (Open),,Attraction,Museum,Science Interpretive Center,Owner: USFS,Free - No fee or pass,"Amenities: Bathroom, Meeting Spaces",,,,,"When the center is open, visitors may stop in to get information, picnic on the deck, learn about education programs being offered, or purchase souvenirs offered by Discover Your Northwest.  The center can also be reserved.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.297539,-122.266834,Interpretive Center or Site
,"<a href=http://www.fs.usda.gov/recarea/mountsthelens/recreation/recarea/?recid=47041 target=""_blank"">Norway Pass Trailhead</a>",Norway Pass Trailhead,,Gifford Pinchot National Forest,,,Season: Summer to Fall (Best),,Recreation Access,Trail Access,Trailhead,Owner: USFS,Pass: Northwest Forest Pass,"Amenities: Bathroom, Potable Water",,Facilites: Trails,Elevation: 3800 ft,Summer Sports: Hiking,"Provides eastside access to: Boundary Trail # 1 (area is unavailable) which is a key access point to Mount Margaret Backcountry and provides access to Norway Pass, Independence Pass Trail #227, Independence Ridge Trail #227A and Lakes Trail #211.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.304873,-122.082755,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31304&actid=29 target=""_blank"">Horseshoe Lake Campground</a>",Horseshoe Lake Campground,,Gifford Pinchot National Forest,,,Season: Spring to Fall,,Recreation Facilities,Camping,Campground,Owner: USFS,"Fee: $12 single site; $6 extra vehicle","Amenities: No Potable Water, Picnic Tables",Features: Wildlife Viewing,,"Standard Campground; 12 campsites; Elevation: 4150 ft","Summer Sports: Camping, Fishing, Hiking, Kayaking, Mountain Biking, OHVing","Campsites, situated on a picturesque lake, offer most campers a view of the water.  The campground is small with only 12 campsites.  It is located near the Mt. Adams Wilderness.  OHV trail access nearby.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.309896,-121.566197,Camping
,"<a href=http://www.fs.usda.gov/recarea/mountsthelens/recarea/?recid=40397 target=""_blank"">Castle Lake Viewpoint</a>",Castle Lake Viewpoint,,Gifford Pinchot National Forest,,,,,Recreation Facilities,Picnic or Day Use Area,Overlook,Owner: USFS,Free - No fee or pass,,"Features: Interpretive Signs, Scenic View",,Parking: Ample parking,,"Views of Mount St. Helens, Castle Lake and the landslide debris deposits from the eruption of Mount St. Helens in 1980.","Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.296926,-122.299478,Picnic Area or Viewpoint
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/horseriding-camping/recarea/?recid=31328&actid=30 target=""_blank"">Keenes Horse Camp</a>",Keenes Horse Camp,,Gifford Pinchot National Forest,,,Season: Summer to Fall,,Recreation Facilities,Camping,Campground,"Owner: USFS; Manager: Hoodoo Recreation Services",Fee: $14 for a single site/$7 extra vehicle,"Amenities: Bathroom, Horse Facilities",,,"Standard Campground; 13 campsites; Elevation: 4354 ft",Summer Sports: Horseback Riding,This campground located in a high elevation stand of lodgepole pie and mixed confirs offers amenities for stock use and access to a network of trails in the Mt. Adams Wilderness,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.308384,-121.546623,Camping
,"<a href=http://www.fs.usda.gov/recarea/giffordpinchot/recreation/hiking/recarea/?recid=32096&actid=50 target=""_blank"">Muddy Meadows Trailhead</a>",Muddy Meadows Trailhead,,Gifford Pinchot National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,Amenities: No Potable Water,,Facilites: Trails,,"Summer Sports: Hiking, Horseback Riding",,"Location contributed by <a href=http://www.fs.usda.gov/giffordpinchot/ target=""_blank"">Gifford Pinchot National Forest</a>",Open,46.308296,-121.540342,Trail Access
